대주제,중주제,소주제,자료건수
"S00 천문·자연","천체 운동","지구 공전",30
"S00 천문·자연","천체 운동","지구 자전",29
"S00 천문·자연","천체 운동","자전축(23.5°)",22
"S00 천문·자연","천체 운동","황도(태양황경)",189
"S00 천문·자연","주기·좌표","계절",462
"S00 천문·자연","주기·좌표","12시진",621
"S00 천문·자연","주기·좌표","행성 배속",20
"S01 음양·오행","음양론","음양",3378
"S01 음양·오행","음양론","체용론",143
"S01 음양·오행","음양론","양팔통·음팔통",41
"S01 음양·오행","오행 5종","목(木)",1455
"S01 음양·오행","오행 5종","화(火)",3287
"S01 음양·오행","오행 5종","토(土)",634
"S01 음양·오행","오행 5종","금(金)",1491
"S01 음양·오행","오행 5종","수(水)",2770
"S01 음양·오행","오행 관계","상생",4506
"S01 음양·오행","오행 관계","상극",1472
"S01 음양·오행","오행 관계","과다·태과",1649
"S01 음양·오행","오행 관계","고립·불급",2276
"S01 음양·오행","오행 관계","설기",408
"S02 천간","양간 5","갑목(甲)",2067
"S02 천간","양간 5","병화(丙)",5747
"S02 천간","양간 5","무토(戊)",4474
"S02 천간","양간 5","경금(庚)",4647
"S02 천간","양간 5","임수(壬)",5041
"S02 천간","음간 5","을목(乙)",4430
"S02 천간","음간 5","정화(丁)",5019
"S02 천간","음간 5","기토(己)",3587
"S02 천간","음간 5","신금(辛)",5562
"S02 천간","음간 5","계수(癸)",2285
"S02 천간","천간 이론","병존",580
"S02 천간","천간 이론","천간의 뜻(이상·마음)",43
"S02 천간","천간 이론","적천수 천간론",279
"S02 천간","천간 이론","하건충 십성 대응",9
"S03 지지·지장간","12지지","자수(子)",3368
"S03 지지·지장간","12지지","축토(丑)",1850
"S03 지지·지장간","12지지","인목(寅)",1089
"S03 지지·지장간","12지지","묘목(卯)",1968
"S03 지지·지장간","12지지","진토(辰)",2345
"S03 지지·지장간","12지지","사화(巳)",2150
"S03 지지·지장간","12지지","오화(午)",1406
"S03 지지·지장간","12지지","미토(未)",2002
"S03 지지·지장간","12지지","신금(申)",1620
"S03 지지·지장간","12지지","유금(酉)",1943
"S03 지지·지장간","12지지","술토(戌)",1744
"S03 지지·지장간","12지지","해수(亥)",3807
"S03 지지·지장간","지지 분류","생지(역마)",794
"S03 지지·지장간","지지 분류","왕지(도화)",1050
"S03 지지·지장간","지지 분류","고지(화개)",780
"S03 지지·지장간","지장간","지장간",3572
"S03 지지·지장간","지장간","여기·중기·정기",2098
"S03 지지·지장간","지장간","월률분야·사령",328
"S03 지지·지장간","천간-지지 호응","통근",985
"S03 지지·지장간","천간-지지 호응","투간·투출",703
"S03 지지·지장간","천간-지지 호응","간여지동",387
"S04 합충형파해","합","천간합",1001
"S04 합충형파해","합","합화",607
"S04 합충형파해","합","육합",687
"S04 합충형파해","합","삼합",2751
"S04 합충형파해","합","방합",1932
"S04 합충형파해","합","반합",621
"S04 합충형파해","합","격각",562
"S04 합충형파해","충","천간충",708
"S04 합충형파해","충","지지충",2122
"S04 합충형파해","충","쟁충·쟁합",169
"S04 합충형파해","충","붕충",79
"S04 합충형파해","충","전극",17
"S04 합충형파해","형·파·해·원진","삼형",1069
"S04 합충형파해","형·파·해·원진","자형",212
"S04 합충형파해","형·파·해·원진","파",274
"S04 합충형파해","형·파·해·원진","해",109
"S04 합충형파해","형·파·해·원진","원진",704
"S04 합충형파해","형·파·해·원진","귀문",429
"S05 십성·육친","비겁","비견",2343
"S05 십성·육친","비겁","겁재",2144
